,Hex Id,Score,Average price per bedroom,Nº of Airbnbs listed
348,88344cd1d3fffff,4938.0,46.72,35
349,88344cc00bfffff,4453.5,27.75,2
350,88344cd2e9fffff,4750.75,60.44,3
351,8834413709fffff,6570.25,48.73,11
352,8834413709fffff,6570.25,48.73,11
353,88344cda55fffff,4847.0,29.5,2
354,88344cda55fffff,4847.0,29.5,2
355,88344cda35fffff,4956.0,37.5,1
356,88344cd191fffff,4854.0,35.21,7
357,88344cd191fffff,4854.0,35.21,7
358,88344ccab7fffff,4391.75,52.0,1
359,88344cd30dfffff,4812.5,18.8,1
360,88344cc043fffff,4533.25,25.25,2
361,88344cd20dfffff,4673.25,57.21,7
362,88344131dbfffff,7740.25,65.43,15
363,88344cc26bfffff,4978.5,32.5,1
364,88344cd2adfffff,4787.5,25.5,1
365,88344cd949fffff,5618.75,113.56,4
366,88344cd949fffff,5618.75,113.56,4
367,88344cca97fffff,4421.75,33.54,6
368,88344cca97fffff,4421.75,33.54,6
369,88344cd353fffff,4952.25,25.0,1
370,88344cd353fffff,4952.25,25.0,1
371,88344cd353fffff,4952.25,25.0,1
372,88344cd353fffff,4952.25,25.0,1
373,8834413661fffff,6253.0,51.94,8
374,88344cc225fffff,4761.25,44.0,1
375,88344cc225fffff,4761.25,44.0,1
376,88344cd1d1fffff,5016.0,44.83,10
377,88344cd32dfffff,4790.5,47.75,1
378,88344130e7fffff,7529.5,32.93,5
379,88344cd1dbfffff,4999.5,39.95,10
380,883441a4bbfffff,4894.75,57.35,14
381,883441a4bbfffff,4894.75,57.35,14
382,88344131d3fffff,7867.25,37.0,3
383,88344cd84dfffff,5218.75,51.77,7
384,88344130d1fffff,7024.5,46.82,17
385,88344130d1fffff,7024.5,46.82,17
386,8834413663fffff,5737.5,42.11,3
387,883441acb7fffff,6002.5,42.98,5
388,883441a491fffff,4911.25,21.33,1
389,88344cda3dfffff,5048.5,59.35,12
390,88344cd2e7fffff,4862.0,48.0,1
391,883441366bfffff,6208.25,59.22,6
392,883441366bfffff,6208.25,59.22,6
393,88344cd213fffff,4764.0,37.5,2
394,88344cd35dfffff,4933.25,61.8,5
395,88344cd1d7fffff,5098.0,65.0,1
396,88344cca93fffff,4491.5,60.38,7
397,88344cca93fffff,4491.5,60.38,7
398,88344cd2a5fffff,4809.25,32.92,4
399,88344cc269fffff,5067.0,32.5,1
400,88344cdb13fffff,5278.0,39.0,1
401,8834413763fffff,7012.75,65.48,56
402,88344cd2a9fffff,4874.5,28.46,4
403,8834413751fffff,6426.5,40.93,20
404,88344cda5dfffff,5020.25,64.6,5
405,88344cd329fffff,4862.25,46.88,4
406,88344cd013fffff,4954.5,53.87,41
407,883441365dfffff,6071.5,80.25,4
408,883441365dfffff,6071.5,80.25,4
409,88344131d5fffff,8022.0,37.5,1
410,88344cd01bfffff,4853.75,52.48,10
411,88344cd2c9fffff,4790.5,29.5,2
412,88344cda07fffff,5103.25,52.42,16
413,88344cda07fffff,5103.25,52.42,16
414,88344cda07fffff,5103.25,52.42,16
415,88344cda07fffff,5103.25,52.42,16
416,88344ccf6dfffff,4558.0,39.14,7
417,88344cd26bfffff,4899.25,34.62,4
418,88344cd26bfffff,4899.25,34.62,4
419,88344cda09fffff,5113.0,49.08,37
420,88344cc9adfffff,4671.5,86.25,4
421,88344cc9adfffff,4671.5,86.25,4
422,88344cc9adfffff,4671.5,86.25,4
423,88344cc9adfffff,4671.5,86.25,4
